Date,Reservoir Name,District,Inflow (MLD),Outflow (MLD),Storage Capacity (MLD),Current Level (MLD)
13-10-2023,Ujjani Dam,Solapur,2053,1636,185045,162782
13-10-2023,Jayakwadi Dam,Aurangabad,1108,1540,178970,135714
14-10-2023,Koyna Dam,Satara,2849,1300,268767,142411
14-10-2023,Bhatsa Dam,Thane,1489,1185,260168,185810
14-10-2023,Ujjani Dam,Solapur,2386,2007,260039,226434
14-10-2023,Jayakwadi Dam,Aurangabad,1038,2185,284016,198648
15-10-2023,Koyna Dam,Satara,1286,2113,188522,172073
15-10-2023,Bhatsa Dam,Thane,1117,1694,245513,104688
15-10-2023,Ujjani Dam,Solapur,1019,1440,196038,137762
15-10-2023,Jayakwadi Dam,Aurangabad,1059,1872,297556,206139
16-10-2023,Koyna Dam,Satara,2662,1757,171977,169937
16-10-2023,Bhatsa Dam,Thane,2623,1289,178659,124544
16-10-2023,Ujjani Dam,Solapur,2859,1399,240967,197041
16-10-2023,Jayakwadi Dam,Aurangabad,2405,2280,201823,116041
17-10-2023,Koyna Dam,Satara,2961,2434,230475,146208
17-10-2023,Bhatsa Dam,Thane,1541,1446,195972,149695
17-10-2023,Ujjani Dam,Solapur,1502,2400,299957,198484
17-10-2023,Jayakwadi Dam,Aurangabad,2283,2232,286523,150224
18-10-2023,Koyna Dam,Satara,2734,2011,190763,105536
18-10-2023,Bhatsa Dam,Thane,2001,1955,202553,125275
18-10-2023,Ujjani Dam,Solapur,2514,1282,188008,160361
18-10-2023,Jayakwadi Dam,Aurangabad,1794,1564,218631,191397
19-10-2023,Koyna Dam,Satara,1756,1595,279575,210778
19-10-2023,Bhatsa Dam,Thane,1611,1976,212211,128522
19-10-2023,Ujjani Dam,Solapur,2400,1621,246057,177993
19-10-2023,Jayakwadi Dam,Aurangabad,2044,2246,159887,105495
20-10-2023,Koyna Dam,Satara,1930,1736,237607,139249
20-10-2023,Bhatsa Dam,Thane,2135,2086,256899,183755
20-10-2023,Ujjani Dam,Solapur,1206,1999,251536,197868
20-10-2023,Jayakwadi Dam,Aurangabad,1007,1380,280182,206626
21-10-2023,Koyna Dam,Satara,2103,2463,255238,208551
21-10-2023,Bhatsa Dam,Thane,1662,2212,179299,113784
21-10-2023,Ujjani Dam,Solapur,2331,2397,218454,145811
21-10-2023,Jayakwadi Dam,Aurangabad,2895,2097,261613,188827
22-10-2023,Koyna Dam,Satara,2479,2039,293316,292824
22-10-2023,Bhatsa Dam,Thane,1326,1795,203439,134372
22-10-2023,Ujjani Dam,Solapur,1899,1215,201534,181986
22-10-2023,Jayakwadi Dam,Aurangabad,2066,1869,170912,107550
23-10-2023,Koyna Dam,Satara,2640,1482,162209,115120
23-10-2023,Bhatsa Dam,Thane,2610,2465,205111,169752
23-10-2023,Ujjani Dam,Solapur,2951,1515,155348,123480
23-10-2023,Jayakwadi Dam,Aurangabad,2656,1970,216487,110392
24-10-2023,Koyna Dam,Satara,1301,1752,225761,143941
24-10-2023,Bhatsa Dam,Thane,2873,1027,231172,129715
24-10-2023,Ujjani Dam,Solapur,1683,1776,277320,274210
24-10-2023,Jayakwadi Dam,Aurangabad,2401,1399,260918,248586
25-10-2023,Koyna Dam,Satara,1017,1601,224102,140686
25-10-2023,Bhatsa Dam,Thane,1521,2162,279039,237186
25-10-2023,Ujjani Dam,Solapur,2886,2348,159699,110750
25-10-2023,Jayakwadi Dam,Aurangabad,1134,1154,292150,180061
26-10-2023,Koyna Dam,Satara,1138,1853,209778,199772
26-10-2023,Bhatsa Dam,Thane,1709,1271,229245,150460
26-10-2023,Ujjani Dam,Solapur,2602,2460,293764,273346
26-10-2023,Jayakwadi Dam,Aurangabad,2751,1774,224599,135990
27-10-2023,Koyna Dam,Satara,2484,1967,159683,134859
27-10-2023,Bhatsa Dam,Thane,2953,2252,280820,108784
27-10-2023,Ujjani Dam,Solapur,2360,1135,200964,138323
27-10-2023,Jayakwadi Dam,Aurangabad,2012,2427,158270,105887
28-10-2023,Koyna Dam,Satara,2311,2438,283853,223623
28-10-2023,Bhatsa Dam,Thane,2170,1615,241292,100358
28-10-2023,Ujjani Dam,Solapur,1618,1160,187215,103101
28-10-2023,Jayakwadi Dam,Aurangabad,2580,1176,161179,151157
29-10-2023,Koyna Dam,Satara,2538,2216,228563,184282
29-10-2023,Bhatsa Dam,Thane,2977,1436,200782,186353
29-10-2023,Ujjani Dam,Solapur,1888,1105,279019,110070
29-10-2023,Jayakwadi Dam,Aurangabad,2119,1506,164821,159068
30-10-2023,Koyna Dam,Satara,2847,1871,259842,110315
30-10-2023,Bhatsa Dam,Thane,2801,1025,175170,114716
30-10-2023,Ujjani Dam,Solapur,2714,2371,208059,184881
30-10-2023,Jayakwadi Dam,Aurangabad,2100,1602,237172,201948
31-10-2023,Koyna Dam,Satara,1402,1583,260026,179974
31-10-2023,Bhatsa Dam,Thane,1717,1654,273803,214476
31-10-2023,Ujjani Dam,Solapur,2388,1429,205610,144665
31-10-2023,Jayakwadi Dam,Aurangabad,1527,1803,189186,125433
01-11-2023,Koyna Dam,Satara,2879,2202,179238,137262
01-11-2023,Bhatsa Dam,Thane,2128,1207,275493,190236
01-11-2023,Ujjani Dam,Solapur,2162,1328,295859,147393
01-11-2023,Jayakwadi Dam,Aurangabad,1098,2342,257336,178175
02-11-2023,Koyna Dam,Satara,2668,1706,224646,185592
02-11-2023,Bhatsa Dam,Thane,2120,1538,216239,197719
02-11-2023,Ujjani Dam,Solapur,2272,2144,255617,101548
02-11-2023,Jayakwadi Dam,Aurangabad,2730,2468,293118,216594
03-11-2023,Koyna Dam,Satara,2234,1351,159505,156405
03-11-2023,Bhatsa Dam,Thane,2766,1849,264390,204027
03-11-2023,Ujjani Dam,Solapur,1227,1572,225458,205675
03-11-2023,Jayakwadi Dam,Aurangabad,1196,1580,287907,219677
04-11-2023,Koyna Dam,Satara,2912,1097,221928,151748
04-11-2023,Bhatsa Dam,Thane,1994,1589,232531,138613
04-11-2023,Ujjani Dam,Solapur,1170,2239,265816,100106
04-11-2023,Jayakwadi Dam,Aurangabad,2133,2400,278181,106843
05-11-2023,Koyna Dam,Satara,1684,1016,230642,156415
05-11-2023,Bhatsa Dam,Thane,2928,1331,176081,125826
05-11-2023,Ujjani Dam,Solapur,1368,1077,234579,170959
05-11-2023,Jayakwadi Dam,Aurangabad,2868,1574,199221,163529
06-11-2023,Koyna Dam,Satara,1891,2084,245201,110475
06-11-2023,Bhatsa Dam,Thane,1998,2038,233056,135336
06-11-2023,Ujjani Dam,Solapur,1904,2409,285025,224671
06-11-2023,Jayakwadi Dam,Aurangabad,2002,1690,199951,149884
07-11-2023,Koyna Dam,Satara,2773,1030,239353,239223
07-11-2023,Bhatsa Dam,Thane,2044,1818,220973,130525
07-11-2023,Ujjani Dam,Solapur,1601,1474,272028,181731
07-11-2023,Jayakwadi Dam,Aurangabad,1044,1402,245763,120962
08-11-2023,Koyna Dam,Satara,1101,2293,206295,185318
08-11-2023,Bhatsa Dam,Thane,1051,1594,167004,109300
08-11-2023,Ujjani Dam,Solapur,2310,1514,273696,149331
08-11-2023,Jayakwadi Dam,Aurangabad,1192,2388,222951,162860
09-11-2023,Koyna Dam,Satara,1478,2246,277463,213142
09-11-2023,Bhatsa Dam,Thane,2082,1759,218485,200434
09-11-2023,Ujjani Dam,Solapur,2453,1336,213479,132700
09-11-2023,Jayakwadi Dam,Aurangabad,2026,1406,224953,105719
10-11-2023,Koyna Dam,Satara,1342,2170,270170,250864
10-11-2023,Bhatsa Dam,Thane,2076,1456,211640,193088
10-11-2023,Ujjani Dam,Solapur,1185,2094,238175,209170
10-11-2023,Jayakwadi Dam,Aurangabad,2881,2260,216323,114368
11-11-2023,Koyna Dam,Satara,1713,1732,168980,146857
11-11-2023,Bhatsa Dam,Thane,1382,1190,236153,212850
11-11-2023,Ujjani Dam,Solapur,1398,1365,228001,118897
11-11-2023,Jayakwadi Dam,Aurangabad,1587,1674,220144,101009
12-11-2023,Koyna Dam,Satara,1369,2299,268352,147859
12-11-2023,Bhatsa Dam,Thane,1731,2497,257427,257152
12-11-2023,Ujjani Dam,Solapur,2716,1979,170310,130897
12-11-2023,Jayakwadi Dam,Aurangabad,2403,2157,276945,263083
13-11-2023,Koyna Dam,Satara,2109,1514,258854,106348
13-11-2023,Bhatsa Dam,Thane,2909,1070,181307,168227
13-11-2023,Ujjani Dam,Solapur,2093,2002,234879,207618
13-11-2023,Jayakwadi Dam,Aurangabad,1545,1333,209049,159792
14-11-2023,Koyna Dam,Satara,1434,2170,174939,118117
14-11-2023,Bhatsa Dam,Thane,2734,2130,283306,132128
14-11-2023,Ujjani Dam,Solapur,2656,1652,264407,120191
14-11-2023,Jayakwadi Dam,Aurangabad,2345,2388,239193,167019
15-11-2023,Koyna Dam,Satara,2013,1562,262081,232022
15-11-2023,Bhatsa Dam,Thane,2800,1779,171662,154035
15-11-2023,Ujjani Dam,Solapur,2503,2482,159801,153525
15-11-2023,Jayakwadi Dam,Aurangabad,1816,1394,155094,138917
16-11-2023,Koyna Dam,Satara,2752,1141,178927,106539
16-11-2023,Bhatsa Dam,Thane,2809,1006,176181,158144
16-11-2023,Ujjani Dam,Solapur,2476,2123,203962,183058
16-11-2023,Jayakwadi Dam,Aurangabad,1089,2429,292919,237217
17-11-2023,Koyna Dam,Satara,1934,2354,152084,112217
17-11-2023,Bhatsa Dam,Thane,1628,1799,160871,150983
17-11-2023,Ujjani Dam,Solapur,2918,2381,228659,183371
17-11-2023,Jayakwadi Dam,Aurangabad,2606,1511,294278,280492
18-11-2023,Koyna Dam,Satara,1305,2391,176345,116498
18-11-2023,Bhatsa Dam,Thane,2921,1151,195163,100159
18-11-2023,Ujjani Dam,Solapur,2034,1882,208128,152593
18-11-2023,Jayakwadi Dam,Aurangabad,1238,2133,248751,181395
19-11-2023,Koyna Dam,Satara,1838,1121,161557,121641
19-11-2023,Bhatsa Dam,Thane,2721,1272,278520,199685
19-11-2023,Ujjani Dam,Solapur,1858,1275,241770,186416
19-11-2023,Jayakwadi Dam,Aurangabad,2026,1262,195212,172470
20-11-2023,Koyna Dam,Satara,1759,1931,236766,158105
20-11-2023,Bhatsa Dam,Thane,2224,1408,274338,133050
20-11-2023,Ujjani Dam,Solapur,1141,1160,176598,105274
20-11-2023,Jayakwadi Dam,Aurangabad,1789,1364,297807,162919
21-11-2023,Koyna Dam,Satara,1639,1121,282569,196485
21-11-2023,Bhatsa Dam,Thane,2678,1429,195826,194283
21-11-2023,Ujjani Dam,Solapur,2686,2257,166199,151608
21-11-2023,Jayakwadi Dam,Aurangabad,1953,1058,165574,119792
22-11-2023,Koyna Dam,Satara,2197,1669,192356,172091
22-11-2023,Bhatsa Dam,Thane,1204,1690,207913,135865
22-11-2023,Ujjani Dam,Solapur,1240,1293,179462,160312
22-11-2023,Jayakwadi Dam,Aurangabad,2395,2148,265736,107616
23-11-2023,Koyna Dam,Satara,2331,1509,221756,113818
23-11-2023,Bhatsa Dam,Thane,1061,1528,170816,151994
23-11-2023,Ujjani Dam,Solapur,1075,1068,203802,123412
23-11-2023,Jayakwadi Dam,Aurangabad,2308,1713,177980,172898
24-11-2023,Koyna Dam,Satara,2346,1669,258965,170050
24-11-2023,Bhatsa Dam,Thane,2837,1207,293920,165222
24-11-2023,Ujjani Dam,Solapur,2409,1096,271942,208812
24-11-2023,Jayakwadi Dam,Aurangabad,1915,1788,210261,119564
25-11-2023,Koyna Dam,Satara,1806,1981,246944,198715
25-11-2023,Bhatsa Dam,Thane,2660,1927,274280,107386
25-11-2023,Ujjani Dam,Solapur,1153,1136,264594,124190
25-11-2023,Jayakwadi Dam,Aurangabad,2015,1666,239441,168843
26-11-2023,Koyna Dam,Satara,1042,2406,158529,124687
26-11-2023,Bhatsa Dam,Thane,1533,1479,290341,121756
26-11-2023,Ujjani Dam,Solapur,2902,1762,209327,147855
26-11-2023,Jayakwadi Dam,Aurangabad,2739,1100,192876,190373
27-11-2023,Koyna Dam,Satara,2638,1556,174394,115741
27-11-2023,Bhatsa Dam,Thane,2502,1011,217647,125483
27-11-2023,Ujjani Dam,Solapur,2574,1545,248263,161509
27-11-2023,Jayakwadi Dam,Aurangabad,2690,1979,200916,116522
28-11-2023,Koyna Dam,Satara,2004,1579,182862,106803
28-11-2023,Bhatsa Dam,Thane,2992,2244,244516,150230
28-11-2023,Ujjani Dam,Solapur,2160,2479,223177,117576
28-11-2023,Jayakwadi Dam,Aurangabad,2940,1606,276135,156137
29-11-2023,Koyna Dam,Satara,1573,2320,245804,216689
29-11-2023,Bhatsa Dam,Thane,1099,2036,211812,131704
29-11-2023,Ujjani Dam,Solapur,1768,2280,167796,158030
29-11-2023,Jayakwadi Dam,Aurangabad,2870,1426,216029,142922
30-11-2023,Koyna Dam,Satara,1488,2046,177785,117312
30-11-2023,Bhatsa Dam,Thane,2949,1698,287850,240087
30-11-2023,Ujjani Dam,Solapur,2201,1168,285884,193985
30-11-2023,Jayakwadi Dam,Aurangabad,2557,2116,298957,147550
01-12-2023,Koyna Dam,Satara,1526,1547,194442,165018
01-12-2023,Bhatsa Dam,Thane,1598,1562,286097,199487
01-12-2023,Ujjani Dam,Solapur,1476,1176,262156,194115
01-12-2023,Jayakwadi Dam,Aurangabad,1421,1452,230658,193554
02-12-2023,Koyna Dam,Satara,2903,2105,201728,134885
02-12-2023,Bhatsa Dam,Thane,2004,1813,290940,129692
02-12-2023,Ujjani Dam,Solapur,2885,2227,278423,261763
02-12-2023,Jayakwadi Dam,Aurangabad,1269,1713,162883,154263
03-12-2023,Koyna Dam,Satara,2234,1248,185061,148781
03-12-2023,Bhatsa Dam,Thane,2931,1770,154152,150172
03-12-2023,Ujjani Dam,Solapur,2498,1799,226063,203542
03-12-2023,Jayakwadi Dam,Aurangabad,2325,1457,241399,211655
04-12-2023,Koyna Dam,Satara,2197,1451,185589,149205
04-12-2023,Bhatsa Dam,Thane,1936,1098,167915,122552
04-12-2023,Ujjani Dam,Solapur,2901,1478,230544,105056
04-12-2023,Jayakwadi Dam,Aurangabad,2497,2366,211118,115711
05-12-2023,Koyna Dam,Satara,2102,2024,179421,156098
05-12-2023,Bhatsa Dam,Thane,2968,2387,280927,186214
05-12-2023,Ujjani Dam,Solapur,2029,1113,273669,188185
05-12-2023,Jayakwadi Dam,Aurangabad,1016,2319,152039,107608
06-12-2023,Koyna Dam,Satara,1419,1453,163447,131770
06-12-2023,Bhatsa Dam,Thane,2917,1226,259211,167638
06-12-2023,Ujjani Dam,Solapur,2768,1171,267429,120493
06-12-2023,Jayakwadi Dam,Aurangabad,2045,1186,183971,178611
07-12-2023,Koyna Dam,Satara,2754,2442,285037,242168
07-12-2023,Bhatsa Dam,Thane,1565,1466,166683,138385
07-12-2023,Ujjani Dam,Solapur,2963,2164,208009,140969
07-12-2023,Jayakwadi Dam,Aurangabad,2901,2321,159890,126692
08-12-2023,Koyna Dam,Satara,1304,1484,280741,201485
08-12-2023,Bhatsa Dam,Thane,1316,1034,242590,238947
08-12-2023,Ujjani Dam,Solapur,2803,2457,167872,138680
08-12-2023,Jayakwadi Dam,Aurangabad,2259,1837,185979,171257
09-12-2023,Koyna Dam,Satara,2094,2343,188400,126001
09-12-2023,Bhatsa Dam,Thane,2671,1473,249277,100014
09-12-2023,Ujjani Dam,Solapur,2138,2275,225839,217833
09-12-2023,Jayakwadi Dam,Aurangabad,1947,1390,261640,176265
10-12-2023,Koyna Dam,Satara,2903,1871,171583,119725
10-12-2023,Bhatsa Dam,Thane,1628,1577,234472,212874
10-12-2023,Ujjani Dam,Solapur,2186,1949,178010,144228
10-12-2023,Jayakwadi Dam,Aurangabad,1280,2479,233904,177871
11-12-2023,Koyna Dam,Satara,2703,2246,237132,104125
11-12-2023,Bhatsa Dam,Thane,1931,1150,212288,136325
11-12-2023,Ujjani Dam,Solapur,2748,1551,187777,137277
11-12-2023,Jayakwadi Dam,Aurangabad,2647,1181,199249,198901
12-12-2023,Koyna Dam,Satara,1793,2399,230619,166974
12-12-2023,Bhatsa Dam,Thane,2477,1299,177503,123352
12-12-2023,Ujjani Dam,Solapur,1288,1460,260892,198302
12-12-2023,Jayakwadi Dam,Aurangabad,2827,2448,254500,244878
13-12-2023,Koyna Dam,Satara,1102,1185,292197,164302
13-12-2023,Bhatsa Dam,Thane,1383,2263,205905,116070
13-12-2023,Ujjani Dam,Solapur,2815,1724,281839,142778
13-12-2023,Jayakwadi Dam,Aurangabad,1515,1958,278795,237210
14-12-2023,Koyna Dam,Satara,1242,1931,187924,179288
14-12-2023,Bhatsa Dam,Thane,2195,1836,173265,173183
14-12-2023,Ujjani Dam,Solapur,1381,2293,271398,174596
14-12-2023,Jayakwadi Dam,Aurangabad,2437,1233,249786,147846
15-12-2023,Koyna Dam,Satara,2894,1458,195379,168390
15-12-2023,Bhatsa Dam,Thane,2853,2253,194695,162978
15-12-2023,Ujjani Dam,Solapur,1241,1215,207295,182004
15-12-2023,Jayakwadi Dam,Aurangabad,1423,1981,247629,231531
16-12-2023,Koyna Dam,Satara,1227,1918,282307,195992
16-12-2023,Bhatsa Dam,Thane,2160,2431,258882,194765
16-12-2023,Ujjani Dam,Solapur,2119,1417,182013,160825
16-12-2023,Jayakwadi Dam,Aurangabad,1632,1643,264544,238823
17-12-2023,Koyna Dam,Satara,1329,1378,271471,241144
17-12-2023,Bhatsa Dam,Thane,1947,2185,234113,202757
17-12-2023,Ujjani Dam,Solapur,2873,1808,268662,210450
17-12-2023,Jayakwadi Dam,Aurangabad,1324,2234,150460,131877
18-12-2023,Koyna Dam,Satara,1305,1908,251317,138041
18-12-2023,Bhatsa Dam,Thane,1521,1665,195870,131891
18-12-2023,Ujjani Dam,Solapur,1282,1005,182574,104404
18-12-2023,Jayakwadi Dam,Aurangabad,1814,1328,207061,194147
19-12-2023,Koyna Dam,Satara,1227,1507,181729,112273
19-12-2023,Bhatsa Dam,Thane,1843,2355,254002,223117
19-12-2023,Ujjani Dam,Solapur,2220,2075,242585,241763
19-12-2023,Jayakwadi Dam,Aurangabad,2126,1726,189592,177170
20-12-2023,Koyna Dam,Satara,1045,1517,265752,210387
20-12-2023,Bhatsa Dam,Thane,2694,2330,214028,129377
20-12-2023,Ujjani Dam,Solapur,2827,1594,198855,186396
20-12-2023,Jayakwadi Dam,Aurangabad,2771,2292,187766,137956
21-12-2023,Koyna Dam,Satara,1706,1191,254782,105301
21-12-2023,Bhatsa Dam,Thane,1988,1206,188000,135698
21-12-2023,Ujjani Dam,Solapur,2044,1647,216875,115941
21-12-2023,Jayakwadi Dam,Aurangabad,1791,2056,219831,107964
22-12-2023,Koyna Dam,Satara,2591,1294,152346,146001
22-12-2023,Bhatsa Dam,Thane,2104,1612,181213,119786
22-12-2023,Ujjani Dam,Solapur,1422,1416,237225,129224
22-12-2023,Jayakwadi Dam,Aurangabad,1515,2499,186164,142073
23-12-2023,Koyna Dam,Satara,2619,1766,163327,147728
23-12-2023,Bhatsa Dam,Thane,1342,1488,277136,260797
23-12-2023,Ujjani Dam,Solapur,2081,2357,188375,119727
23-12-2023,Jayakwadi Dam,Aurangabad,1861,1079,279566,117757
24-12-2023,Koyna Dam,Satara,1783,1206,257238,215100
24-12-2023,Bhatsa Dam,Thane,2081,1978,165584,122677
24-12-2023,Ujjani Dam,Solapur,1657,1800,274465,239737
24-12-2023,Jayakwadi Dam,Aurangabad,1680,1861,215691,129462
25-12-2023,Koyna Dam,Satara,2899,2279,200781,163135
25-12-2023,Bhatsa Dam,Thane,1704,1791,225086,106917
25-12-2023,Ujjani Dam,Solapur,1898,1402,273291,101330
25-12-2023,Jayakwadi Dam,Aurangabad,2083,2367,283857,245233
26-12-2023,Koyna Dam,Satara,1546,2129,229940,176694
26-12-2023,Bhatsa Dam,Thane,1244,1139,174562,142876
26-12-2023,Ujjani Dam,Solapur,2307,1379,288384,274396
26-12-2023,Jayakwadi Dam,Aurangabad,2680,2435,199225,180585
27-12-2023,Koyna Dam,Satara,2440,2198,288595,162735
27-12-2023,Bhatsa Dam,Thane,2117,1247,235946,107187
27-12-2023,Ujjani Dam,Solapur,2474,1318,285080,161006
27-12-2023,Jayakwadi Dam,Aurangabad,2002,1191,172026,114686
28-12-2023,Koyna Dam,Satara,2958,1509,271123,152656
28-12-2023,Bhatsa Dam,Thane,2043,2466,226504,190940
28-12-2023,Ujjani Dam,Solapur,2794,1420,277984,121261
28-12-2023,Jayakwadi Dam,Aurangabad,1902,1080,168250,102325
29-12-2023,Koyna Dam,Satara,2606,1354,248824,234763
29-12-2023,Bhatsa Dam,Thane,1522,2340,255678,214348
29-12-2023,Ujjani Dam,Solapur,1504,2089,266572,152202
29-12-2023,Jayakwadi Dam,Aurangabad,1257,1130,243190,154151
30-12-2023,Koyna Dam,Satara,1302,1494,284304,175512
30-12-2023,Bhatsa Dam,Thane,1518,1970,197222,169434
30-12-2023,Ujjani Dam,Solapur,1370,1027,207627,110742
30-12-2023,Jayakwadi Dam,Aurangabad,2227,1893,176002,157834
31-12-2023,Koyna Dam,Satara,2699,1205,266386,224508
31-12-2023,Bhatsa Dam,Thane,2741,1854,152801,109197
31-12-2023,Ujjani Dam,Solapur,1657,2067,165874,146972
31-12-2023,Jayakwadi Dam,Aurangabad,2742,1634,275931,173140
01-01-2024,Koyna Dam,Satara,1985,1094,248612,132567
01-01-2024,Bhatsa Dam,Thane,2738,1117,152055,118984
01-01-2024,Ujjani Dam,Solapur,1910,1266,197758,146988
01-01-2024,Jayakwadi Dam,Aurangabad,2451,1401,198720,146381
02-01-2024,Koyna Dam,Satara,2919,1335,278930,231237
02-01-2024,Bhatsa Dam,Thane,2832,1110,154336,136889
02-01-2024,Ujjani Dam,Solapur,2868,1188,160792,103705
02-01-2024,Jayakwadi Dam,Aurangabad,2790,2218,155306,123966
03-01-2024,Koyna Dam,Satara,2408,1516,275168,104190
03-01-2024,Bhatsa Dam,Thane,1532,2017,274057,141620
03-01-2024,Ujjani Dam,Solapur,1365,1147,241428,210143
03-01-2024,Jayakwadi Dam,Aurangabad,1365,2176,277801,178064
04-01-2024,Koyna Dam,Satara,1371,1265,248415,137291
04-01-2024,Bhatsa Dam,Thane,1448,2378,238038,163817
04-01-2024,Ujjani Dam,Solapur,2947,2374,175035,143141
04-01-2024,Jayakwadi Dam,Aurangabad,2469,1724,296787,187495
05-01-2024,Koyna Dam,Satara,2837,1101,161723,121405
05-01-2024,Bhatsa Dam,Thane,2770,1781,259692,189157
05-01-2024,Ujjani Dam,Solapur,1407,1128,244452,209517
05-01-2024,Jayakwadi Dam,Aurangabad,2704,1489,172441,112474
06-01-2024,Koyna Dam,Satara,1113,1737,166731,140332
06-01-2024,Bhatsa Dam,Thane,1547,2174,236348,195713
06-01-2024,Ujjani Dam,Solapur,1405,1400,221776,122249
06-01-2024,Jayakwadi Dam,Aurangabad,2562,1293,227701,180037
07-01-2024,Koyna Dam,Satara,1664,1671,211915,178838
07-01-2024,Bhatsa Dam,Thane,2900,1391,250808,249056
07-01-2024,Ujjani Dam,Solapur,2836,1262,161442,123058
07-01-2024,Jayakwadi Dam,Aurangabad,2576,1912,151379,102418
08-01-2024,Koyna Dam,Satara,1824,1622,265514,111477
08-01-2024,Bhatsa Dam,Thane,2723,1757,190725,164540
08-01-2024,Ujjani Dam,Solapur,2183,1907,154386,118669
08-01-2024,Jayakwadi Dam,Aurangabad,1728,2162,243327,104007
09-01-2024,Koyna Dam,Satara,1990,1285,166936,120805
09-01-2024,Bhatsa Dam,Thane,1641,2067,156315,149452
09-01-2024,Ujjani Dam,Solapur,2407,1136,196183,127823
09-01-2024,Jayakwadi Dam,Aurangabad,1910,1142,266162,160676
10-01-2024,Koyna Dam,Satara,1014,2121,235338,187915
10-01-2024,Bhatsa Dam,Thane,1091,2481,215590,159307
10-01-2024,Ujjani Dam,Solapur,2410,1842,154532,121360
10-01-2024,Jayakwadi Dam,Aurangabad,2835,1759,165731,162928
11-01-2024,Koyna Dam,Satara,1661,2158,159095,123590
11-01-2024,Bhatsa Dam,Thane,1698,1838,219471,185441
11-01-2024,Ujjani Dam,Solapur,2531,2026,227849,211250
11-01-2024,Jayakwadi Dam,Aurangabad,2105,1943,225120,151847
12-01-2024,Koyna Dam,Satara,1103,1420,254422,143971
12-01-2024,Bhatsa Dam,Thane,2937,2195,246819,176040
12-01-2024,Ujjani Dam,Solapur,1218,1757,204521,117041
12-01-2024,Jayakwadi Dam,Aurangabad,1158,1203,160197,101777
13-01-2024,Koyna Dam,Satara,2310,1911,240257,224534
13-01-2024,Bhatsa Dam,Thane,1396,2187,258689,185383
13-01-2024,Ujjani Dam,Solapur,1279,1116,187151,160238
13-01-2024,Jayakwadi Dam,Aurangabad,1562,2019,156796,123299
14-01-2024,Koyna Dam,Satara,1153,1274,264080,209433
14-01-2024,Bhatsa Dam,Thane,2888,1177,217226,154362
14-01-2024,Ujjani Dam,Solapur,2167,1569,253138,214140
14-01-2024,Jayakwadi Dam,Aurangabad,1187,2136,239100,106863
15-01-2024,Koyna Dam,Satara,2107,2091,178552,174696
15-01-2024,Bhatsa Dam,Thane,1767,2412,203048,112790
15-01-2024,Ujjani Dam,Solapur,1725,1907,195578,140464
15-01-2024,Jayakwadi Dam,Aurangabad,1548,2189,176441,149182
16-01-2024,Koyna Dam,Satara,2106,1753,244315,142957
16-01-2024,Bhatsa Dam,Thane,2940,1101,195834,114958
16-01-2024,Ujjani Dam,Solapur,1804,2386,257218,116946
16-01-2024,Jayakwadi Dam,Aurangabad,2296,2219,209582,143847
17-01-2024,Koyna Dam,Satara,1452,1412,288723,175677
17-01-2024,Bhatsa Dam,Thane,2566,2304,162373,115613
17-01-2024,Ujjani Dam,Solapur,1745,2341,157486,135604
17-01-2024,Jayakwadi Dam,Aurangabad,2741,2078,237746,183593
18-01-2024,Koyna Dam,Satara,2791,1611,187373,143621
18-01-2024,Bhatsa Dam,Thane,1305,1731,274572,149108
18-01-2024,Ujjani Dam,Solapur,2907,2050,277002,201729
18-01-2024,Jayakwadi Dam,Aurangabad,1582,1298,243327,217330
19-01-2024,Koyna Dam,Satara,2462,1979,158214,140487
19-01-2024,Bhatsa Dam,Thane,2425,1051,273325,167560
19-01-2024,Ujjani Dam,Solapur,1406,2330,247651,236816
19-01-2024,Jayakwadi Dam,Aurangabad,1123,1282,270587,132145
20-01-2024,Koyna Dam,Satara,2749,1830,157616,113250
20-01-2024,Bhatsa Dam,Thane,2198,2184,296107,295987
20-01-2024,Ujjani Dam,Solapur,2143,2429,222118,158847
20-01-2024,Jayakwadi Dam,Aurangabad,2361,2154,249845,209765
21-01-2024,Koyna Dam,Satara,2282,2423,181885,117719
21-01-2024,Bhatsa Dam,Thane,1845,2191,267546,190735
21-01-2024,Ujjani Dam,Solapur,1778,2443,250785,191607
21-01-2024,Jayakwadi Dam,Aurangabad,2473,1870,280852,239698
22-01-2024,Koyna Dam,Satara,1367,1057,250557,160074
22-01-2024,Bhatsa Dam,Thane,1789,2085,161231,117764
22-01-2024,Ujjani Dam,Solapur,1843,2198,156613,108305
22-01-2024,Jayakwadi Dam,Aurangabad,1346,2476,257863,154477
23-01-2024,Koyna Dam,Satara,1561,1550,272172,139307
23-01-2024,Bhatsa Dam,Thane,2449,2066,276805,263081
23-01-2024,Ujjani Dam,Solapur,2211,1456,250410,152885
23-01-2024,Jayakwadi Dam,Aurangabad,1406,1470,158713,139288
24-01-2024,Koyna Dam,Satara,2821,1811,261507,207243
24-01-2024,Bhatsa Dam,Thane,1535,1321,219662,201540
24-01-2024,Ujjani Dam,Solapur,1639,1431,241846,135800
24-01-2024,Jayakwadi Dam,Aurangabad,2065,1251,150107,134831
25-01-2024,Koyna Dam,Satara,1135,2443,219144,146122
25-01-2024,Bhatsa Dam,Thane,1072,2108,263739,261194
